"0","74","1928","2003-05-25 22:09:33"
"1","60","1252","1990-07-31 23:29:20"
"2","13","730","1975-08-28 06:04:46"
"3","55","1430","2009-07-25 15:06:36"
"4","87","562","1981-07-28 22:41:12"
"5","23","1314","1972-05-05 08:44:43"
"6","62","299","2009-01-19 19:34:47"
"7","8","413","2013-05-20 22:47:35"
"8","58","915","2012-03-27 10:47:13"
"9","29","211","1998-09-10 14:25:31"
"10","93","504","1999-06-15 22:53:44"
"11","98","279","1989-09-25 13:36:52"
"12","11","808","1978-04-09 00:52:49"
"13","90","742","2018-03-29 19:11:40"
"14","86","559","2016-10-15 08:41:46"
"15","94","1802","1973-09-19 11:27:53"
"16","3","11","2017-01-03 03:30:05"
"17","74","1373","2006-12-20 01:07:57"
"18","64","1536","2012-05-12 04:18:03"
"19","53","1437","1984-06-30 06:09:47"
"20","83","1579","1976-12-28 10:51:56"
"21","68","1268","1991-04-23 02:07:06"
"22","36","1093","1988-12-05 01:59:36"
"23","62","1502","1996-03-15 19:24:26"
"24","44","979","1994-12-12 14:38:29"
"25","60","1721","1980-11-25 11:18:00"
"26","61","1648","2009-11-24 19:38:59"
"27","83","642","2000-08-10 05:56:45"
"28","5","1223","2019-08-06 17:46:06"
"29","74","845","1996-08-18 06:45:18"
"30","3","770","2011-04-30 12:29:14"
"31","9","39","2002-12-28 09:33:38"
"32","64","376","1995-09-26 22:58:01"
"33","27","601","2018-06-17 02:36:10"
"34","33","1411","2015-12-27 04:02:55"
"35","89","1804","1996-02-07 17:13:28"
"36","81","1971","1993-11-09 12:39:23"
"37","46","273","2002-07-17 04:46:42"
"38","89","741","1982-06-26 21:24:32"
"39","56","1314","1994-03-31 21:26:08"
"40","77","1198","2015-11-29 12:18:25"
"41","79","1519","2010-01-20 01:07:15"
"42","16","679","1974-03-06 01:58:35"
"43","37","651","1993-03-27 09:40:31"
"44","20","1748","1998-05-13 18:24:05"
"45","81","1240","1978-12-30 15:52:17"
"46","57","1171","2014-06-14 06:25:36"
"47","34","210","2002-12-04 01:32:34"
"48","59","857","2010-05-24 07:03:54"
"49","50","1161","1982-05-27 19:26:02"
"50","61","1013","1987-07-02 14:02:25"
"51","12","1971","2020-06-07 17:45:03"
"52","81","1001","1995-05-12 00:21:12"
"53","70","985","2001-05-19 18:19:14"
"54","72","150","2015-10-03 03:39:23"
"55","59","840","2023-08-29 02:58:18"
"56","92","843","1970-06-03 22:21:24"
"57","50","1502","1995-07-18 17:20:20"
"58","41","1445","2008-06-09 08:52:23"
"59","5","1990","2012-09-02 11:50:30"
"60","46","438","1980-06-17 02:41:23"
"61","51","520","1995-11-26 04:25:35"
"62","97","1416","2011-03-07 13:03:09"
"63","29","1501","2005-11-29 05:18:00"
"64","91","1524","2019-11-04 22:13:57"
"65","93","1188","1989-04-28 04:43:36"
"66","78","559","2021-05-22 16:28:42"
"67","32","813","1992-10-04 04:30:14"
"68","33","1625","2012-12-10 17:32:47"
"69","69","916","2006-04-20 13:10:11"
"70","41","1800","1980-02-26 03:42:16"
"71","75","1284","2003-09-05 15:33:11"
"72","99","520","2018-01-03 15:23:50"
"73","83","844","1983-01-12 23:38:14"
"74","1","107","1993-11-30 18:21:09"
"75","44","20","2018-03-05 02:13:50"
"76","68","84","2009-05-12 21:48:39"
"77","30","657","2000-10-22 20:57:39"
"78","70","1355","1984-12-28 23:19:16"
"79","45","394","2018-05-04 20:31:48"
"80","69","1682","1980-01-07 21:06:51"
"81","61","484","2006-02-05 00:59:49"
"82","34","876","1976-01-28 07:10:02"
"83","67","640","1979-01-01 13:30:24"
"84","99","1034","1976-01-17 12:10:35"
"85","0","890","2011-08-27 01:28:17"
"86","31","1340","1981-09-22 19:27:30"
"87","11","1284","2013-04-21 20:36:04"
"88","54","1090","1990-03-01 17:31:20"
"89","17","284","2017-09-22 08:36:13"
"90","8","840","1983-07-02 12:39:26"
"91","73","1243","2000-04-20 06:42:57"
"92","2","1710","2006-01-30 01:38:17"
"93","21","105","2016-03-29 23:02:10"
"94","62","1112","1990-04-10 06:51:20"
"95","16","288","1976-11-04 15:11:19"
"96","63","1861","2016-02-14 11:07:45"
"97","3","181","2005-10-08 11:10:44"
"98","59","1667","2009-03-03 02:53:52"
"99","22","1653","1998-12-18 23:16:03"
"100","60","851","2004-02-27 16:33:05"
"101","37","1722","1998-04-18 21:59:50"
"102","85","953","2009-12-30 10:42:48"
"103","42","252","2004-02-27 20:15:38"
"104","6","1086","1998-04-18 05:57:41"
"105","30","437","1972-02-12 19:53:43"
"106","3","1307","1978-02-22 08:08:14"
"107","34","785","1970-02-17 01:23:14"
"108","68","728","2008-03-21 11:46:56"
"109","13","205","1973-01-06 07:27:23"
"110","63","1223","1989-08-23 10:55:12"
"111","72","1793","2020-03-30 06:08:51"
"112","76","1066","1999-10-08 00:20:38"
"113","92","91","2016-10-01 19:45:55"
"114","86","354","1999-07-22 12:26:46"
"115","40","147","2013-02-20 19:46:31"
"116","31","755","2018-03-23 17:49:01"
"117","14","597","2014-09-27 11:08:50"
"118","3","1123","1984-09-26 02:54:50"
"119","86","5","1977-10-11 01:25:41"
"120","54","478","2023-10-06 14:43:49"
"121","25","755","1995-04-16 20:57:07"
"122","25","831","1982-03-26 02:02:08"
"123","26","319","2012-01-25 01:42:39"
"124","52","211","2012-02-06 04:19:02"
"125","46","1031","1984-02-07 13:08:39"
"126","49","904","1987-06-17 15:47:26"
"127","21","1206","2016-06-24 17:04:27"
"128","62","1263","2022-05-11 16:08:41"
"129","52","1363","2010-12-16 15:25:01"
"130","42","665","1984-05-24 06:13:53"
"131","50","677","1988-04-21 05:13:35"
"132","66","1771","2001-08-30 23:05:55"
"133","37","1350","2016-05-14 18:29:39"
"134","68","1518","2008-12-09 03:55:49"
"135","82","1651","1994-03-11 02:05:02"
"136","97","1665","2004-05-28 23:00:50"
"137","46","1403","1991-03-24 06:38:15"
"138","58","1695","1980-10-04 03:04:57"
"139","87","227","1997-10-22 06:20:06"
"140","11","484","1985-06-24 00:28:38"
"141","89","674","2010-06-26 06:22:09"
"142","60","1791","2001-01-26 06:55:13"
"143","87","1128","1988-09-26 03:55:51"
"144","68","722","2009-10-11 05:23:17"
"145","53","852","1986-06-28 03:43:56"
"146","6","703","1996-12-21 06:34:27"
"147","24","810","1971-12-17 03:16:31"
"148","79","1090","2023-06-30 01:19:43"
"149","64","431","1973-06-02 02:53:29"
"150","78","854","1973-06-11 14:13:42"
"151","82","834","1991-11-28 01:17:16"
"152","62","1654","2018-03-30 09:55:22"
"153","92","454","2016-10-19 08:00:52"
"154","48","1398","2023-05-07 12:43:26"
"155","25","997","1972-01-24 18:54:52"
"156","91","748","1989-07-18 13:30:46"
"157","30","487","2013-11-22 15:41:06"
"158","7","1550","1975-05-27 09:36:15"
"159","63","204","1982-09-30 13:30:53"
"160","10","1974","2011-03-23 10:50:57"
"161","51","896","1991-12-06 07:11:15"
"162","66","214","2006-05-03 19:32:56"
"163","7","1414","2007-09-27 23:18:42"
"164","12","1216","1992-09-07 00:49:02"
"165","72","1965","1978-03-08 10:48:30"
"166","63","968","2018-08-19 16:48:31"
"167","27","584","1983-02-19 11:05:46"
"168","79","1403","2006-11-04 20:15:53"
"169","8","1033","2020-01-31 21:44:42"
"170","56","601","2023-11-23 18:38:28"
